title,category,mood,style,tags
"highfalutin-sixth-ozraraptor",Creative,Mysterious,Casual,"[""highfalutin"", ""raptor"", ""sixth"", ""strange""]"
"lively-developing-redcurrant",Creative,Energetic,Casual,"[""redcurrant"", ""lively"", ""develop"", ""bright""]"
"curious-zany-wheel",Creative,Energetic,Casual,"[""curious"", ""zany"", ""wheel"", ""spin""]"
"equinox-thoughtful-mahogany",Atmospheric,Dreamy,Minimalist,"[""equinox"", ""mahogany"", ""thoughtful"", ""warm""]"
"acidic-organized-spear",Technical,Analytical,Formal,"[""acidic"", ""organized"", ""spear"", ""sharp""]"
"conscious-gelatinous-principal",Creative,Mysterious,Creative,"[""conscious"", ""gelatinous"", ""principal"", ""surreal""]"
"shrinkwrap.yaml",Technical,Analytical,Glitch,"[""yaml"", ""config"", ""shrinkwrap"", ""dev""]"
"Data Entryline",Technical,Analytical,Formal,"[""data"", ""entry"", ""line"", ""input""]"
"Data Haze",Technical,Eerie,Creative,"[""data"", ""haze"", ""fog"", ""unclear""]"
"Synthetic Reach",Technical,Mysterious,Creative,"[""synthetic"", ""reach"", ""extend"", ""machine""]"
"Mainframe Access",Technical,Mysterious,Formal,"[""mainframe"", ""access"", ""retro"", ""system""]"
"Terminal Access",Technical,Mysterious,Formal,"[""terminal"", ""access"", ""login"", ""system""]"
"Static Bridge",Technical,Mysterious,Creative,"[""static"", ""bridge"", ""connect"", ""signal""]"
"Garden of Broken Code",Hybrid,Melancholic,Creative,"[""garden"", ""code"", ""broken"", ""nature""]"
"Garden in the Grid",Hybrid,Dreamy,Creative,"[""garden"", ""grid"", ""nature"", ""code""]"
"Ghosts in the Garden",Atmospheric,Eerie,Creative,"[""ghost"", ""garden"", ""haunted"", ""nature""]"
"The Garden Firewall",Technical,Mysterious,Creative,"[""garden"", ""firewall"", ""protect"", ""code""]"
"The Synapse Garden.exe",Technical,Mysterious,Glitch,"[""synapse"", ""garden"", ""neural"", ""exe""]"
"Garden of Broken Scripts",Technical,Melancholic,Glitch,"[""garden"", ""script"", ""broken"", ""code""]"
"Garden.vhs.run()",Technical,Nostalgic,Glitch,"[""garden"", ""vhs"", ""run"", ""retro""]"
"Garden of Lost Variables",Technical,Melancholic,Creative,"[""garden"", ""variable"", ""lost"", ""code""]"
"Garden of Lost Algorithms",Technical,Melancholic,Creative,"[""garden"", ""algorithm"", ""lost"", ""code""]"
"Garden.init()",Technical,Analytical,Glitch,"[""garden"", ""init"", ""start"", ""code""]"
"Defragmenting Desire",Technical,Melancholic,Creative,"[""defrag"", ""desire"", ""optimize"", ""heart""]"
"Echo Chamber of the Soul",Hybrid,Melancholic,Cinematic,"[""echo"", ""soul"", ""chamber"", ""resonance""]"
"Sunbleached Syntax",Technical,Nostalgic,Creative,"[""sun"", ""syntax"", ""fade"", ""code""]"
"Floating Through Firewalls",Technical,Dreamy,Creative,"[""firewall"", ""float"", ""bypass"", ""cloud""]"
"Limited Time Transcendence",Hybrid,Mysterious,Creative,"[""time"", ""limit"", ""transcend"", ""irony""]"
"Blurred Lines & Faded Logos",Atmospheric,Nostalgic,Creative,"[""blur"", ""logo"", ""fade"", ""brand""]"
"Echoes in the Elevator",Atmospheric,Eerie,Cinematic,"[""elevator"", ""echo"", ""liminal"", ""haunted""]"
"Obliquity cipherGrid",Technical,Mysterious,Glitch,"[""oblique"", ""cipher"", ""grid"", ""code""]"
"Pixel Tears in Slow Motion",Atmospheric,Melancholic,Cinematic,"[""pixel"", ""tear"", ""slow"", ""emotion""]"
"Glass Elevator to Nowhere",Atmospheric,Eerie,Cinematic,"[""elevator"", ""glass"", ""nowhere"", ""liminal""]"
"Tropical Data Loss",Technical,Eerie,Glitch,"[""tropical"", ""data"", ""loss"", ""contrast""]"
"Escalator Loop (Forever)",Atmospheric,Eerie,Cinematic,"[""escalator"", ""loop"", ""liminal"", ""forever""]"
"8-Bit Dawn Late Fee Romance",Creative,Nostalgic,Casual,"[""8bit"", ""dawn"", ""fee"", ""retro""]"
"Fountain Coins & Broken Time",Atmospheric,Melancholic,Creative,"[""fountain"", ""coin"", ""time"", ""wish""]"
"Aquarium Screensaver",Atmospheric,Nostalgic,Casual,"[""aquarium"", ""screensaver"", ""retro"", ""calm""]"
"Escalator to Nowhere",Atmospheric,Eerie,Minimalist,"[""escalator"", ""nowhere"", ""liminal"", ""loop""]"
"Heavenly System 50 years ago",Hybrid,Nostalgic,Cinematic,"[""heaven"", ""system"", ""retro"", ""past""]"
"Mall Directory to Nowhere",Atmospheric,Eerie,Cinematic,"[""mall"", ""directory"", ""liminal"", ""lost""]"
"Liminal Breeze",Atmospheric,Dreamy,Minimalist,"[""liminal"", ""breeze"", ""threshold"", ""soft""]"
"Late Night Elevator Music",Atmospheric,Melancholic,Casual,"[""elevator"", ""night"", ""music"", ""liminal""]"
"Fountain at the End of Time",Atmospheric,Melancholic,Cinematic,"[""fountain"", ""time"", ""end"", ""liminal""]"
"Idle Thoughts in 32-Bit",Technical,Nostalgic,Casual,"[""idle"", ""32bit"", ""thought"", ""retro""]"
"Like a lost floppy disk floating in cyberspace.",Technical,Melancholic,Creative,"[""floppy"", ""lost"", ""cyberspace"", ""retro""]"
"3AM Mall Parking Lot",Atmospheric,Eerie,Cinematic,"[""3am"", ""mall"", ""parking"", ""liminal""]"
"Virtual Lobby Music",Atmospheric,Nostalgic,Casual,"[""lobby"", ""virtual"", ""music"", ""liminal""]"
"Soda Machine Lullaby",Atmospheric,Nostalgic,Casual,"[""soda"", ""machine"", ""lullaby"", ""retro""]"
"Forgotten Screensaver",Atmospheric,Nostalgic,Casual,"[""screensaver"", ""forgotten"", ""retro"", ""idle""]"
"Endless Escalator Ride",Atmospheric,Eerie,Minimalist,"[""escalator"", ""endless"", ""loop"", ""liminal""]"
"Pixelated Waterfalls",Creative,Dreamy,Creative,"[""pixel"", ""waterfall"", ""nature"", ""digital""]"
"Late-Night Laundromat",Atmospheric,Melancholic,Casual,"[""laundromat"", ""night"", ""liminal"", ""mundane""]"
"Abandoned Roller Rink",Atmospheric,Nostalgic,Cinematic,"[""roller-rink"", ""abandoned"", ""retro"", ""decay""]"
"Parking Garage Echoes",Atmospheric,Eerie,Cinematic,"[""parking"", ""echo"", ""garage"", ""liminal""]"
"Mall Fountain Stillness",Atmospheric,Melancholic,Minimalist,"[""mall"", ""fountain"", ""still"", ""liminal""]"
"Boardwalk at Dusk",Atmospheric,Nostalgic,Cinematic,"[""boardwalk"", ""dusk"", ""sea"", ""evening""]"
"Silent Bowling Alley",Atmospheric,Eerie,Minimalist,"[""bowling"", ""silent"", ""liminal"", ""still""]"
"Crystal Galleria, North Wing",Atmospheric,Nostalgic,Cinematic,"[""mall"", ""galleria"", ""crystal"", ""north""]"
"Midnight in the Parking Lot",Atmospheric,Eerie,Cinematic,"[""midnight"", ""parking"", ""liminal"", ""dark""]"
"Abandoned Plaza Parking Lot",Atmospheric,Eerie,Cinematic,"[""plaza"", ""abandoned"", ""parking"", ""liminal""]"
"Empty Parking Lot Echoes",Atmospheric,Eerie,Minimalist,"[""parking"", ""empty"", ""echo"", ""liminal""]"
"Parking Lot Reverie",Atmospheric,Dreamy,Creative,"[""parking"", ""reverie"", ""dream"", ""liminal""]"
"Lost in the Parking Lot",Atmospheric,Melancholic,Casual,"[""parking"", ""lost"", ""liminal"", ""wandering""]"
"Hyperreal Learning Loop",Technical,Analytical,Creative,"[""hyperreal"", ""learn"", ""loop"", ""system""]"
"Learning to Forget",Hybrid,Melancholic,Creative,"[""learn"", ""forget"", ""ML"", ""memory""]"
"Distant Learning Center",Institutional,Melancholic,Formal,"[""distance"", ""learning"", ""center"", ""remote""]"
"Cyber Study Hall",Technical,Nostalgic,Creative,"[""cyber"", ""study"", ""hall"", ""retro""]"
"Infinite Lessons Mall",Atmospheric,Eerie,Cinematic,"[""lesson"", ""mall"", ""infinite"", ""liminal""]"
"Knowledgewave 3000",Technical,Nostalgic,Creative,"[""knowledge"", ""wave"", ""retro"", ""3000""]"
"Slow tempo, echoing mall music loops",Atmospheric,Nostalgic,Minimalist,"[""slow"", ""echo"", ""mall"", ""loop""]"
"Empty shopping mall at midnight",Atmospheric,Eerie,Minimalist,"[""mall"", ""midnight"", ""empty"", ""liminal""]"
"Slow ambient loops",Atmospheric,Dreamy,Minimalist,"[""ambient"", ""loop"", ""slow"", ""sound""]"
"static hums",Atmospheric,Eerie,Minimalist,"[""static"", ""hum"", ""signal"", ""noise""]"
"Stuck in a digital afterlife",Technical,Eerie,Creative,"[""digital"", ""afterlife"", ""stuck"", ""ghost""]"
